IATA,LATITUDE,LONGITUDE,Weather
ABE,40.65236278,-75.44040167,Warm
ABI,32.41132,-99.68189722,Hot
ABQ,35.04022222,-106.6091944,Hot
ABY,31.535515,-84.19447333,Hot
ACT,31.61128833,-97.23051917,Sweltering
ACV,40.97811528,-124.1086189,Cool
ACY,39.45758333,-74.57716667,Hot
ADK,51.87796389,-176.6460306,Cold
ADQ,57.74996778,-152.4938553,Cool
AEX,31.32737167,-92.54855611,Hot
AGS,33.369955,-81.96449611,Hot
ALB,42.74811944,-73.80297861,Warm
AMA,35.2193725,-101.7059272,Hot
ANC,61.17432028,-149.9961856,Warm
ASE,39.22316,-106.868845,Warm
ATL,33.64044444,-84.42694444,Hot
ATW,44.25740806,-88.51947556,Warm
AUS,30.19453278,-97.66987194,Sweltering
AVL,35.43619444,-82.54180556,Warm
AVP,41.33814944,-75.7242675,Warm
AZO,42.234875,-85.5520575,Warm
BDL,41.93887417,-72.68322833,Warm
BET,60.77977639,-161.8379975,Cool
BFL,35.43359806,-119.0567681,Sweltering
BGM,42.20848278,-75.97961361,Warm
BGR,44.80744444,-68.82813889,Warm
BHM,33.56294306,-86.75354972,Hot
BIL,45.8076625,-108.5428611,Hot
BIS,46.77411111,-100.7467222,Hot
BKG,36.53853596,-93.1990729,Hot
BLI,48.79275,-122.5375278,Cool
BMI,40.47798556,-88.91595278,Warm
BNA,36.12447667,-86.67818222,Hot
BOI,43.56444444,-116.2227778,Hot
BOS,42.3643475,-71.00517917,Warm
BQK,31.25902778,-81.46630556,Hot
BQN,18.49486111,-67.12944444,Hot
BRO,25.90683333,-97.42586111,Hot
BRW,71.2854475,-156.7660019,Frigid
BTM,45.95479528,-112.49746,Warm
BTR,30.53316083,-91.14963444,Hot
BTV,44.47300361,-73.1503125,Warm
BUF,42.94052472,-78.73216667,Warm
BUR,34.20061917,-118.3584969,Hot
BWI,39.17540167,-76.66819833,Hot
BZN,45.77690139,-111.1530072,Hot
CAE,33.93884,-81.11953944,Hot
CAK,40.91631194,-81.44246556,Warm
CDC,37.70097028,-113.098575,Hot
CDV,60.49183389,-145.4776503,Cool
CEC,41.78015722,-124.2365333,Cool
CHA,35.03526833,-85.20378778,Hot
CHO,38.13863889,-78.45286111,Hot
CHS,32.89864639,-80.04050583,Hot
CIC,39.79538278,-121.8584231,Sweltering
CID,41.88458833,-91.71087222,Warm
CLD,33.127231,-117.278727,Warm
CLE,41.41089417,-81.84939667,Warm
CLL,30.58858944,-96.36382417,Sweltering
CLT,35.21401111,-80.94312583,Hot
CMH,39.99798528,-82.89188278,Warm
CMI,40.03925,-88.27805556,Warm
CMX,47.16841722,-88.48906083,Warm
COD,44.52019417,-109.0237961,Warm
COS,38.80580556,-104.70025,Warm
COU,38.81809306,-92.21962917,Hot
CPR,42.90835556,-106.4644661,Hot
CRP,27.77036083,-97.50121528,Hot
CRW,38.37315083,-81.59318972,Hot
CSG,32.51633333,-84.93886111,Hot
CVG,39.04614278,-84.6621725,Hot
CWA,44.77761917,-89.66677944,Warm
CYS,41.1557225,-104.8118381,Warm
DAB,29.17991667,-81.05805556,Hot
DAL,32.84711389,-96.85177222,Sweltering
DAY,39.90237583,-84.219375,Warm
DBQ,42.40295944,-90.70916722,Warm
DCA,38.85208333,-77.03772222,Hot
DEN,39.85840806,-104.6670019,Hot
DFW,32.89595056,-97.0372,Sweltering
DHN,31.32133917,-85.44962889,Hot
DLH,46.84209028,-92.19364861,Warm
DRO,37.15151667,-107.7537692,Warm
DSM,41.53493306,-93.66068222,Hot
DTW,42.21205889,-83.34883583,Warm
EAU,44.86525722,-91.48507194,Warm
ECP,30.35452072,-85.79955635,Hot
EGE,39.64256778,-106.9176953,Warm
EKO,40.82492611,-115.7916964,Hot
ELM,42.15991361,-76.89144333,Warm
ELP,31.80666667,-106.3778056,Hot
ERI,42.08202139,-80.17621556,Warm
EUG,44.12326,-123.2186856,Warm
EVV,38.03799139,-87.53062667,Hot
EWN,35.07297222,-77.04294444,Hot
EWR,40.69249722,-74.16866056,Hot
EYW,24.55611111,-81.75955556,Hot
FAI,64.8136775,-147.8596694,Cool
FAR,46.91934889,-96.81498889,Warm
FAT,36.77619444,-119.7181389,Sweltering
FAY,34.99147222,-78.88,Hot
FCA,48.31140472,-114.2550694,Warm
FLG,35.13845472,-111.6712183,Warm
FLL,26.07258333,-80.15275,Hot
FLO,34.18536111,-79.72388889,Hot
FNT,42.96550333,-83.74345639,Warm
FSD,43.58135111,-96.74170028,Warm
FSM,35.33659028,-94.36744111,Hot
FWA,40.97846583,-85.19514639,Warm
GCC,44.34889806,-105.5393614,Hot
GEG,47.61985556,-117.5338425,Hot
GFK,47.949255,-97.17611111,Warm
GGG,32.38486111,-94.71171,Hot
GJT,39.1224125,-108.5267347,Hot
GNV,29.69005556,-82.27177778,Hot
GPT,30.40728028,-89.07009278,Hot
GRB,44.48507333,-88.12959,Warm
GRK,31.06489778,-97.82779778,Hot
GRR,42.88081972,-85.52276778,Warm
GSO,36.09774694,-79.9372975,Hot
GSP,34.89566722,-82.21885833,Hot
GTF,47.48200194,-111.3706853,Hot
GTR,33.45033444,-88.59136861,Hot
GUC,38.53396333,-106.9331817,Warm
GUM,13.48345,-144.7959825,Hot
HDN,40.48118028,-107.2176597,Warm
HLN,46.60681806,-111.9827503,Hot
HNL,21.31869111,-157.9224072,Hot
HOU,29.64541861,-95.27888889,Hot
HPN,41.06695778,-73.70757444,Warm
HRL,26.22850611,-97.65439389,Hot
HSV,34.6404475,-86.77310944,Hot
HTS,38.36666667,-82.55802778,Hot
IAD,38.94453194,-77.45580972,Hot
IAH,29.98047222,-95.33972222,Hot
ICT,37.64995889,-97.43304583,Hot
IDA,43.51455556,-112.0701667,Hot
ILM,34.27061111,-77.90255556,Hot
IND,39.71732917,-86.29438417,Warm
IPL,32.83422028,-115.5787456,Sweltering
ISP,40.7952425,-73.10021194,Warm
ITH,42.49102778,-76.45844444,Warm
ITO,19.72026306,-155.0484703,Warm
IYK,35.65884306,-117.8295122,Sweltering
JAC,43.60732417,-110.7377389,Warm
JAN,32.31116667,-90.07588889,Hot
JAX,30.49405556,-81.68786111,Hot
JFK,40.63975111,-73.77892556,Warm
JNU,58.35496194,-134.5762764,Cool
KOA,19.73876583,-156.0456314,Hot
KTN,55.35556861,-131.71374,Cool
LAN,42.7787,-84.58735806,Warm
LAS,36.08036111,-115.1523333,Sweltering
LAX,33.94253611,-118.4080744,Warm
LBB,33.66363889,-101.8227778,Hot
LCH,30.1260975,-93.22340361,Hot
LEX,38.03697222,-84.60538889,Hot
LFT,30.20527972,-91.987655,Hot
LGA,40.77724306,-73.87260917,Warm
LGB,33.81772222,-118.1516111,Warm
LIH,21.97598306,-159.3389581,Warm
LIT,34.72939611,-92.22424556,Hot
LMT,42.15614361,-121.7332081,Hot
LNK,40.85097222,-96.75925,Hot
LRD,27.54373861,-99.46154361,Sweltering
LSE,43.87937972,-91.25653778,Warm
LWB,37.85830556,-80.39947222,Warm
LWS,46.37449806,-117.0153944,Hot
LYH,37.32668528,-79.20043056,Hot
MAF,31.94252778,-102.2019139,Hot
MBS,43.53291472,-84.07964722,Warm
MCI,39.29760528,-94.71390556,Hot
MCO,28.42888889,-81.31602778,Hot
MDT,40.19349528,-76.76340361,Hot
MDW,41.7859825,-87.75242444,Warm
MEI,32.33313333,-88.75120556,Hot
MEM,35.04241667,-89.97666667,Hot
MFE,26.17583333,-98.23861111,Sweltering
MFR,42.37422778,-122.8734978,Hot
MGM,32.30064417,-86.39397611,Hot
MHK,39.14096722,-96.67083278,Hot
MHT,42.93451639,-71.43705583,Warm
MIA,25.79325,-80.29055556,Hot
MKE,42.94722222,-87.89658333,Warm
MKG,43.16948806,-86.23822306,Warm
MLB,28.10275,-80.64580556,Hot
MLI,41.44852639,-90.50753917,Hot
MLU,32.51086556,-92.03768778,Hot
MMH,37.62404861,-118.8377722,Warm
MOB,30.69141667,-88.24283333,Hot
MOD,37.62581722,-120.9544214,Hot
MOT,48.25937778,-101.2803339,Warm
MQT,46.353639,-87.395361,Cool
MRY,36.5869825,-121.8429478,Cool
MSN,43.13985778,-89.33751361,Warm
MSO,46.91630556,-114.0905556,Hot
MSP,44.88054694,-93.2169225,Warm
MSY,29.99338889,-90.25802778,Hot
MTJ,38.50886722,-107.8938333,Hot
MYR,33.67975,-78.92833333,Hot
OAJ,34.82916444,-77.61213778,Hot
OAK,37.72129083,-122.2207167,Warm
OGG,20.89864972,-156.4304578,Hot
OKC,35.39308833,-97.60073389,Hot
OMA,41.30251861,-95.89417306,Hot
OME,64.51220222,-165.4452458,Cool
ONT,34.056,-117.6011944,Hot
ORD,41.979595,-87.90446417,Warm
ORF,36.89461111,-76.20122222,Hot
OTH,43.41713889,-124.2460278,Warm
OTZ,66.88467694,-162.5985497,Hot
PAH,37.06083333,-88.77375,Hot
PBI,26.68316194,-80.09559417,Hot
PDX,45.58872222,-122.5975,Warm
PHF,37.13189556,-76.4929875,Hot
PHL,39.87195278,-75.24114083,Hot
PHX,33.43416667,-112.0080556,Sweltering
PIA,40.66424333,-89.69330556,Hot
PIE,27.91076333,-82.68743944,Hot
PIH,42.91130556,-112.5958611,Hot
PIT,40.49146583,-80.23287083,Warm
PLN,45.5709275,-84.796715,Warm
PNS,30.47330556,-87.18744444,Hot
PSC,46.26468028,-119.1190292,Hot
PSE,18.00830278,-66.56301194,Hot
PSG,56.80165194,-132.9452781,Cold
PSP,33.82921556,-116.5062531,Sweltering
PVD,41.72399917,-71.42822111,Warm
PWM,43.64616667,-70.30875,Warm
RAP,44.04532139,-103.0573708,Hot
RDD,40.50898361,-122.2934019,Sweltering
RDM,44.25406722,-121.1499633,Hot
RDU,35.87763889,-78.78747222,Warm
RIC,37.50516667,-77.31966667,Hot
RKS,41.5942175,-109.0651928,Warm
RNO,39.49857611,-119.7680647,Hot
ROA,37.32546833,-79.97542833,Hot
ROC,43.11886611,-77.67238389,Warm
ROW,33.30155556,-104.5305556,Hot
RST,43.90882639,-92.49798722,Warm
RSW,26.53616667,-81.75516667,Hot
SAF,35.61677778,-106.0881389,Hot
SAN,32.73355611,-117.1896567,Cool
SAT,29.53369444,-98.46977778,Hot
SAV,32.12758333,-81.20213889,Hot
SBA,34.42621194,-119.8403733,Cool
SBN,41.70895361,-86.31847417,Warm
SBP,35.23705806,-120.6423931,Cool
SCC,70.19475583,-148.4651608,Cool
SCE,40.851206,-77.846302,Warm
SDF,38.17438889,-85.736,Hot
SEA,47.44898194,-122.3093131,Warm
SFO,37.61900194,-122.3748433,Warm
SGF,37.24432611,-93.38685806,Hot
SGU,37.09058333,-113.5930556,Sweltering
SHV,32.4466275,-93.82559833,Hot
SIT,57.04713806,-135.3615983,Cool
SJC,37.36186194,-121.9290089,Warm
SJT,31.35775,-100.4963056,Very Hot
SJU,18.43941667,-66.00183333,Hot
SLC,40.78838778,-111.9777731,Hot
SMF,38.69542167,-121.5907669,Hot
SMX,34.89924833,-120.4575825,Cool
SNA,33.67565861,-117.8682225,Warm
SPI,39.84395194,-89.67761861,Hot
SPS,33.98879611,-98.49189333,Sweltering
SRQ,27.39533333,-82.55411111,Hot
STL,38.74768694,-90.35998972,Hot
STT,18.33730556,-64.97336111,Hot
STX,17.70188889,-64.79855556,Hot
SUN,43.50484139,-114.2965903,Warm
SWF,41.50409361,-74.10483833,Warm
SYR,43.11118694,-76.10631056,Warm
TEX,37.95375861,-107.90848,Cool
TLH,30.39652778,-84.35033333,Hot
TOL,41.58680556,-83.80783333,Warm
TPA,27.97547222,-82.53325,Hot
TRI,36.47521417,-82.40742056,Warm
TUL,36.19837222,-95.88824167,Hot
TUS,32.11608333,-110.9410278,Sweltering
TVC,44.74144472,-85.582235,Warm
TWF,42.48180389,-114.4877356,Warm
TXK,33.45370806,-93.99102,Hot
TYR,32.35413889,-95.40238611,Hot
TYS,35.81248722,-83.99285583,Warm
UTM,34.68329869,-90.3515837,Warm
VLD,30.7825,-83.27672222,Warm
VPS,30.48325,-86.5254,Hot
WRG,56.48432583,-132.3698242,Cold
XNA,36.28186944,-94.30681111,Warm
YAK,59.50336056,-139.6602261,Cold
YUM,32.65658333,-114.6059722,Sweltering